rank,symbol,name,price,change_24h
1,BTC,Bitcoin,68234.62,0.37
2,ETH,Ethereum,2064.05,0.35
3,SOL,Solana,87.10,-0.92
4,XRP,XRP,1.44,0.31
5,ADA,Cardano,3.44,2.20
6,AVAX,Avalanche,9.33,8.43
7,DOT,Polkadot,1.62,27.79
8,QNT,Quant,64.53,0.70
9,USDC,USDC,1.00,0.01
10,USDT,Tether,1.00,-0.01
